target_tenor,actual_tenor,target_delta,target_moneyness,instrument_name,strike,option_type,moneyness,mark_iv,mark_iv_decimal
14.0,14.112433640069444,0.1,1.25,BTC-17JUL26-70000-C,70000.0,call,1.1330967858900314,36.57,0.3657
14.0,14.112433640069444,0.2,1.15,BTC-17JUL26-70000-C,70000.0,call,1.1330967858900314,36.57,0.3657
14.0,14.112433640069444,0.3,1.08,BTC-17JUL26-66000-C,66000.0,call,1.0683483981248867,35.25,0.3525
14.0,14.112433640069444,0.5,1.0,BTC-17JUL26-62000-C,62000.0,call,1.003600010359742,37.19,0.37189999999999995
14.0,14.112433640069444,0.7,0.94,BTC-17JUL26-58000-P,58000.0,put,0.9388516225945974,42.6,0.426
14.0,14.112433640069444,0.8,0.9,BTC-17JUL26-56000-P,56000.0,put,0.9064774287120251,46.25,0.4625
14.0,14.112433640069444,0.9,0.85,BTC-17JUL26-52000-P,52000.0,put,0.8417290409468804,53.54,0.5354
30.0,28.112433640069444,0.1,1.25,BTC-31JUL26-77000-C,77000.0,call,1.2464064644790345,37.59,0.3759
30.0,28.112433640069444,0.2,1.15,BTC-31JUL26-71000-C,71000.0,call,1.1492838828313174,35.66,0.3566
30.0,28.112433640069444,0.3,1.08,BTC-31JUL26-67000-C,67000.0,call,1.084535495066173,35.55,0.3555
30.0,28.112433640069444,0.5,1.0,BTC-31JUL26-62000-C,62000.0,call,1.003600010359742,38.33,0.3833
30.0,28.112433640069444,0.7,0.94,BTC-31JUL26-58000-P,58000.0,put,0.9388516225945974,42.01,0.4201
30.0,28.112433640069444,0.8,0.9,BTC-31JUL26-56000-P,56000.0,put,0.9064774287120251,44.25,0.4425
30.0,28.112433640069444,0.9,0.85,BTC-31JUL26-52000-P,52000.0,put,0.8417290409468804,49.02,0.4902
60.0,56.11243364006945,0.1,1.25,BTC-28AUG26-77000-C,77000.0,call,1.2464064644790345,36.74,0.3674
60.0,56.11243364006945,0.2,1.15,BTC-28AUG26-71000-C,71000.0,call,1.1492838828313174,36.72,0.36719999999999997
60.0,56.11243364006945,0.3,1.08,BTC-28AUG26-67000-C,67000.0,call,1.084535495066173,37.12,0.3712
60.0,56.11243364006945,0.5,1.0,BTC-28AUG26-62000-C,62000.0,call,1.003600010359742,39.46,0.3946
60.0,56.11243364006945,0.7,0.94,BTC-28AUG26-58000-P,58000.0,put,0.9388516225945974,41.98,0.41979999999999995
60.0,56.11243364006945,0.8,0.9,BTC-28AUG26-56000-P,56000.0,put,0.9064774287120251,43.51,0.4351
60.0,56.11243364006945,0.9,0.85,BTC-28AUG26-53000-P,53000.0,put,0.8579161378881666,46.27,0.46270000000000006
90.0,84.11243364006945,0.1,1.25,BTC-25SEP26-78000-C,78000.0,call,1.2625935614203208,37.43,0.3743
90.0,84.11243364006945,0.2,1.15,BTC-25SEP26-72000-C,72000.0,call,1.1654709797726037,37.43,0.3743
90.0,84.11243364006945,0.3,1.08,BTC-25SEP26-66000-C,66000.0,call,1.0683483981248867,38.6,0.386
90.0,84.11243364006945,0.5,1.0,BTC-25SEP26-62000-C,62000.0,call,1.003600010359742,40.21,0.4021
90.0,84.11243364006945,0.7,0.94,BTC-25SEP26-58000-P,58000.0,put,0.9388516225945974,42.29,0.4229
90.0,84.11243364006945,0.8,0.9,BTC-25SEP26-56000-P,56000.0,put,0.9064774287120251,43.61,0.4361
90.0,84.11243364006945,0.9,0.85,BTC-25SEP26-52000-P,52000.0,put,0.8417290409468804,46.75,0.4675
120.0,84.11243364006945,0.1,1.25,BTC-25SEP26-78000-C,78000.0,call,1.2625935614203208,37.43,0.3743
120.0,84.11243364006945,0.2,1.15,BTC-25SEP26-72000-C,72000.0,call,1.1654709797726037,37.43,0.3743
120.0,84.11243364006945,0.3,1.08,BTC-25SEP26-66000-C,66000.0,call,1.0683483981248867,38.6,0.386
120.0,84.11243364006945,0.5,1.0,BTC-25SEP26-62000-C,62000.0,call,1.003600010359742,40.21,0.4021
120.0,84.11243364006945,0.7,0.94,BTC-25SEP26-58000-P,58000.0,put,0.9388516225945974,42.29,0.4229
120.0,84.11243364006945,0.8,0.9,BTC-25SEP26-56000-P,56000.0,put,0.9064774287120251,43.61,0.4361
120.0,84.11243364006945,0.9,0.85,BTC-25SEP26-52000-P,52000.0,put,0.8417290409468804,46.75,0.4675
180.0,175.11243364006944,0.1,1.25,BTC-25DEC26-78000-C,78000.0,call,1.2625935614203208,40.43,0.4043
180.0,175.11243364006944,0.2,1.15,BTC-25DEC26-72000-C,72000.0,call,1.1654709797726037,40.85,0.40850000000000003
180.0,175.11243364006944,0.3,1.08,BTC-25DEC26-66000-C,66000.0,call,1.0683483981248867,41.74,0.4174
180.0,175.11243364006944,0.5,1.0,BTC-25DEC26-62000-C,62000.0,call,1.003600010359742,42.86,0.4286
180.0,175.11243364006944,0.7,0.94,BTC-25DEC26-58000-P,58000.0,put,0.9388516225945974,44.13,0.4413
180.0,175.11243364006944,0.8,0.9,BTC-25DEC26-56000-P,56000.0,put,0.9064774287120251,44.9,0.449
180.0,175.11243364006944,0.9,0.85,BTC-25DEC26-52000-P,52000.0,put,0.8417290409468804,46.68,0.4668
