target_tenor,actual_tenor,target_delta,target_moneyness,instrument_name,strike,option_type,moneyness,mark_iv,mark_iv_decimal
14.0,14.112424659537037,0.1,1.25,ETH-17JUL26-2000-C,2000.0,call,1.1743567460923279,50.53,0.5053
14.0,14.112424659537037,0.2,1.15,ETH-17JUL26-2000-C,2000.0,call,1.1743567460923279,50.53,0.5053
14.0,14.112424659537037,0.3,1.08,ETH-17JUL26-1800-C,1800.0,call,1.0569210714830952,49.17,0.4917
14.0,14.112424659537037,0.5,1.0,ETH-17JUL26-1700-C,1700.0,call,0.9982032341784788,50.79,0.5079
14.0,14.112424659537037,0.7,0.94,ETH-17JUL26-1600-P,1600.0,put,0.9394853968738623,54.83,0.5483
14.0,14.112424659537037,0.8,0.9,ETH-17JUL26-1550-P,1550.0,put,0.9101264782215541,57.8,0.578
14.0,14.112424659537037,0.9,0.85,ETH-17JUL26-1450-P,1450.0,put,0.8514086409169378,65.04,0.6504000000000001
30.0,28.112424659537037,0.1,1.25,ETH-31JUL26-2150-C,2150.0,call,1.2624335020492525,51.59,0.5159
30.0,28.112424659537037,0.2,1.15,ETH-31JUL26-1950-C,1950.0,call,1.1449978274400197,50.71,0.5071
30.0,28.112424659537037,0.3,1.08,ETH-31JUL26-1850-C,1850.0,call,1.0862799901354034,50.54,0.5054
30.0,28.112424659537037,0.5,1.0,ETH-31JUL26-1700-C,1700.0,call,0.9982032341784788,51.9,0.519
30.0,28.112424659537037,0.7,0.94,ETH-31JUL26-1600-P,1600.0,put,0.9394853968738623,54.63,0.5463
30.0,28.112424659537037,0.8,0.9,ETH-31JUL26-1550-P,1550.0,put,0.9101264782215541,56.17,0.5617
30.0,28.112424659537037,0.9,0.85,ETH-31JUL26-1450-P,1450.0,put,0.8514086409169378,60.85,0.6085
60.0,56.112424659537034,0.1,1.25,ETH-28AUG26-2150-C,2150.0,call,1.2624335020492525,52.18,0.5218
60.0,56.112424659537034,0.2,1.15,ETH-28AUG26-1950-C,1950.0,call,1.1449978274400197,52.05,0.5205
60.0,56.112424659537034,0.3,1.08,ETH-28AUG26-1850-C,1850.0,call,1.0862799901354034,52.18,0.5218
60.0,56.112424659537034,0.5,1.0,ETH-28AUG26-1700-C,1700.0,call,0.9982032341784788,53.16,0.5316
60.0,56.112424659537034,0.7,0.94,ETH-28AUG26-1600-P,1600.0,put,0.9394853968738623,54.79,0.5478999999999999
60.0,56.112424659537034,0.8,0.9,ETH-28AUG26-1550-P,1550.0,put,0.9101264782215541,55.77,0.5577000000000001
60.0,56.112424659537034,0.9,0.85,ETH-28AUG26-1450-P,1450.0,put,0.8514086409169378,58.57,0.5857
90.0,84.11242465953704,0.1,1.25,ETH-25SEP26-2100-C,2100.0,call,1.2330745833969443,53.23,0.5323
90.0,84.11242465953704,0.2,1.15,ETH-25SEP26-2000-C,2000.0,call,1.1743567460923279,53.27,0.5327000000000001
90.0,84.11242465953704,0.3,1.08,ETH-25SEP26-1800-C,1800.0,call,1.0569210714830952,53.81,0.5381
90.0,84.11242465953704,0.5,1.0,ETH-25SEP26-1700-C,1700.0,call,0.9982032341784788,54.52,0.5452
90.0,84.11242465953704,0.7,0.94,ETH-25SEP26-1600-P,1600.0,put,0.9394853968738623,55.6,0.556
90.0,84.11242465953704,0.8,0.9,ETH-25SEP26-1500-P,1500.0,put,0.880767559569246,57.3,0.573
90.0,84.11242465953704,0.9,0.85,ETH-25SEP26-1400-P,1400.0,put,0.8220497222646296,59.41,0.5941
120.0,84.11242465953704,0.1,1.25,ETH-25SEP26-2100-C,2100.0,call,1.2330745833969443,53.23,0.5323
120.0,84.11242465953704,0.2,1.15,ETH-25SEP26-2000-C,2000.0,call,1.1743567460923279,53.27,0.5327000000000001
120.0,84.11242465953704,0.3,1.08,ETH-25SEP26-1800-C,1800.0,call,1.0569210714830952,53.81,0.5381
120.0,84.11242465953704,0.5,1.0,ETH-25SEP26-1700-C,1700.0,call,0.9982032341784788,54.52,0.5452
120.0,84.11242465953704,0.7,0.94,ETH-25SEP26-1600-P,1600.0,put,0.9394853968738623,55.6,0.556
120.0,84.11242465953704,0.8,0.9,ETH-25SEP26-1500-P,1500.0,put,0.880767559569246,57.3,0.573
120.0,84.11242465953704,0.9,0.85,ETH-25SEP26-1400-P,1400.0,put,0.8220497222646296,59.41,0.5941
180.0,175.11242465953703,0.1,1.25,ETH-25DEC26-2100-C,2100.0,call,1.2330745833969443,56.36,0.5636
180.0,175.11242465953703,0.2,1.15,ETH-25DEC26-2000-C,2000.0,call,1.1743567460923279,56.36,0.5636
180.0,175.11242465953703,0.3,1.08,ETH-25DEC26-1800-C,1800.0,call,1.0569210714830952,56.92,0.5692
180.0,175.11242465953703,0.5,1.0,ETH-25DEC26-1700-C,1700.0,call,0.9982032341784788,57.25,0.5725
180.0,175.11242465953703,0.7,0.94,ETH-25DEC26-1600-P,1600.0,put,0.9394853968738623,57.94,0.5794
180.0,175.11242465953703,0.8,0.9,ETH-25DEC26-1500-P,1500.0,put,0.880767559569246,58.8,0.588
180.0,175.11242465953703,0.9,0.85,ETH-25DEC26-1400-P,1400.0,put,0.8220497222646296,59.93,0.5992999999999999
