currency,timestamp_raw,timestamp_utc,tenor,delta,market_iv,model_iv,residual,market_iv_vol_points,model_iv_vol_points,residual_vol_points,anomaly_score_vol_points
BTC,20260702_215421,2026-07-02 21:54:21+00:00,14.0,0.1,0.3519523806893743,0.35036394000053406,0.0015884406888402314,35.19523806893743,35.03639221191406,0.15884406888402314,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,14.0,0.2,0.35151965099338167,0.3509414792060852,0.0005781717872964665,35.15196509933817,35.094146728515625,0.057817178729646646,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,14.0,0.3,0.3535281475741367,0.35299089550971985,0.0005372520644168488,35.35281475741367,35.29909133911133,0.05372520644168488,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,14.0,0.5,0.37244052945696415,0.3707420825958252,0.001698446861138958,37.24405294569642,37.0742073059082,0.1698446861138958,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,14.0,0.7,0.40214421725555577,0.4009524881839752,0.0011917290715805495,40.214421725555574,40.09524917602539,0.11917290715805495,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,14.0,0.8,0.42894357828760554,0.428398996591568,0.0005445816960375494,42.894357828760555,42.839900970458984,0.054458169603754936,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,14.0,0.9,0.4778865004842035,0.4786653220653534,-0.0007788215811498911,47.78865004842035,47.86653137207031,-0.07788215811498911,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,30.0,0.1,0.35662862423316666,0.3570067882537842,-0.00037816402061752186,35.66286242331667,35.700679779052734,-0.037816402061752186,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,30.0,0.2,0.3566309443340948,0.3564892113208771,0.00014173301321773746,35.66309443340948,35.648921966552734,0.014173301321773746,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,30.0,0.3,0.3612761944230391,0.3611629009246826,0.0001132934983564815,36.12761944230391,36.11629104614258,0.01132934983564815,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,30.0,0.5,0.3817448077030673,0.3811292350292206,0.0006155726738467093,38.17448077030673,38.11292266845703,0.06155726738467093,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,30.0,0.7,0.4124578295621987,0.4127393066883087,-0.0002814771261100413,41.24578295621987,41.273929595947266,-0.028147712611004128,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,30.0,0.8,0.4387983755223655,0.4388605058193207,-6.213029695517625e-05,43.87983755223655,43.886051177978516,-0.0062130296955176245,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,30.0,0.9,0.48631359715235506,0.48824018239974976,-0.0019265852473946965,48.631359715235504,48.82401657104492,-0.19265852473946965,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,60.0,0.1,0.36746026254236913,0.3682919144630432,-0.0008316519206740813,36.74602625423692,36.829193115234375,-0.08316519206740813,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,60.0,0.2,0.36766203255772817,0.3674314320087433,0.0002306005489848828,36.766203255772815,36.74314498901367,0.02306005489848828,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,60.0,0.3,0.37259732493595443,0.3731362223625183,-0.000538897426563878,37.25973249359544,37.313621520996094,-0.053889742656387796,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,60.0,0.5,0.39281843878391215,0.3937893509864807,-0.0009709122025685635,39.281843878391214,39.378936767578125,-0.09709122025685635,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,60.0,0.7,0.4264788160137363,0.42811039090156555,-0.001631574887829279,42.647881601373626,42.811038970947266,-0.1631574887829279,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,60.0,0.8,0.4544569890346429,0.4563128650188446,-0.001855875984201727,45.44569890346429,45.63128662109375,-0.1855875984201727,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,60.0,0.9,0.5085131925205847,0.5115053057670593,-0.002992113246474637,50.85131925205847,51.15053176879883,-0.2992113246474637,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,90.0,0.1,0.3758984918734149,0.3760782480239868,-0.00017975615057191918,37.58984918734149,37.607826232910156,-0.017975615057191918,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,90.0,0.2,0.3761492587456502,0.37525561451911926,0.0008936442265309319,37.61492587456502,37.52556228637695,0.08936442265309319,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,90.0,0.3,0.38043724181162314,0.38066190481185913,-0.00022466300023599173,38.04372418116231,38.06618881225586,-0.022466300023599173,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,90.0,0.5,0.4005068361385345,0.4015454649925232,-0.001038628853988699,40.05068361385345,40.154544830322266,-0.1038628853988699,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,90.0,0.7,0.4343776383999922,0.43574291467666626,-0.0013652762766740434,43.43776383999922,43.57429122924805,-0.13652762766740434,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,90.0,0.8,0.46478678620396,0.46626120805740356,-0.0014744218534435416,46.478678620396,46.626121520996094,-0.14744218534435416,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,90.0,0.9,0.5304061947549791,0.5316271781921387,-0.0012209834371595951,53.040619475497905,53.1627197265625,-0.12209834371595951,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,120.0,0.1,0.3860571296262932,0.3864597976207733,-0.0004026679944801326,38.60571296262932,38.64598083496094,-0.04026679944801326,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,120.0,0.2,0.3860393686357601,0.38596972823143005,6.964040433005136e-05,38.60393686357601,38.59697341918945,0.006964040433005136,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,120.0,0.3,0.3895490271855897,0.39006537199020386,-0.000516344804614155,38.95490271855897,39.00653839111328,-0.0516344804614155,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,120.0,0.5,0.4080466421855493,0.40927523374557495,-0.001228591560025638,40.80466421855493,40.92752456665039,-0.12285915600256381,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,120.0,0.7,0.4410108786240191,0.4416566789150238,-0.0006458002910046945,44.10108786240191,44.16566848754883,-0.06458002910046945,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,120.0,0.8,0.4716445814069859,0.4730035066604614,-0.0013589252534755292,47.16445814069859,47.300350189208984,-0.13589252534755292,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,120.0,0.9,0.5375133104725819,0.5388168692588806,-0.0013035587862987308,53.75133104725819,53.88168716430664,-0.13035587862987308,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,180.0,0.1,0.40541295273393063,0.4059706926345825,-0.0005577399006518879,40.54129527339306,40.597068786621094,-0.055773990065188794,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,180.0,0.2,0.40480464634196583,0.4066287577152252,-0.001824111373259385,40.480464634196586,40.66287612915039,-0.1824111373259385,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,180.0,0.3,0.40689021867992137,0.40795841813087463,-0.0010681994509532666,40.68902186799214,40.795841217041016,-0.10681994509532666,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,180.0,0.5,0.4224535581970756,0.42272135615348816,-0.0002677979564125743,42.245355819707555,42.27213668823242,-0.02677979564125743,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,180.0,0.7,0.4536263099643216,0.4535928964614868,3.341350283475597e-05,45.36263099643216,45.359291076660156,0.003341350283475597,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,180.0,0.8,0.48463132567624273,0.48485898971557617,-0.0002276640393334417,48.46313256762427,48.48590087890625,-0.02276640393334417,0.11221074717890239
BTC,20260702_215421,2026-07-02 21:54:21+00:00,180.0,0.9,0.5507667679351226,0.5529675483703613,-0.0022007804352387472,55.076676793512256,55.2967529296875,-0.22007804352387472,0.11221074717890239
BTC,20260703_004149,2026-07-03 00:41:49+00:00,14.0,0.1,0.3533962725657414,0.35202330350875854,0.0013729690569828645,35.33962725657414,35.20233154296875,0.13729690569828645,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,14.0,0.2,0.3526866971013651,0.35245048999786377,0.00023620710350130691,35.26866971013651,35.24504852294922,0.02362071035013069,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,14.0,0.3,0.3574799044607991,0.35544902086257935,0.002030883598219735,35.74799044607991,35.54490280151367,0.20308835982197349,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,14.0,0.5,0.37666155083194447,0.37252873182296753,0.00413281900897694,37.66615508319445,37.252872467041016,0.413281900897694,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,14.0,0.7,0.40890842050383863,0.4035170078277588,0.005391412676079843,40.89084205038386,40.35169982910156,0.5391412676079843,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,14.0,0.8,0.4379595717876635,0.43115270137786865,0.00680687040979483,43.79595717876635,43.11526870727539,0.680687040979483,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,14.0,0.9,0.48749757215881084,0.48367470502853394,0.003822867130276908,48.74975721588108,48.367469787597656,0.3822867130276908,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,30.0,0.1,0.3564842565534886,0.357906699180603,-0.0014224426271144397,35.64842565534886,35.79066848754883,-0.14224426271144397,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,30.0,0.2,0.3566473800189366,0.35856419801712036,-0.001916817998183773,35.66473800189366,35.85641860961914,-0.1916817998183773,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,30.0,0.3,0.3622561317378797,0.3644556701183319,-0.002199538380452226,36.22561317378797,36.4455680847168,-0.21995383804522262,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,30.0,0.5,0.384825022791891,0.38565853238105774,-0.0008335095891667255,38.4825022791891,38.565853118896484,-0.08335095891667255,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,30.0,0.7,0.4188808507588998,0.41747090220451355,0.0014099485543862533,41.88808507588998,41.74708938598633,0.14099485543862533,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,30.0,0.8,0.44637175952792735,0.44274935126304626,0.003622408264881083,44.63717595279274,44.27493667602539,0.3622408264881083,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,30.0,0.9,0.4929073486649522,0.4923124611377716,0.0005948875271806209,49.29073486649522,49.23124694824219,0.05948875271806209,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,60.0,0.1,0.366841850598954,0.36872121691703796,-0.0018793663180839415,36.684185059895405,36.87211990356445,-0.18793663180839415,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,60.0,0.2,0.36664134208685495,0.36862772703170776,-0.001986384944852815,36.664134208685496,36.86277389526367,-0.19863849448528148,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,60.0,0.3,0.37251022823567115,0.37534835934638977,-0.0028381311107186225,37.25102282356711,37.53483581542969,-0.28381311107186225,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,60.0,0.5,0.3948079131218732,0.39682164788246155,-0.0020137347605883593,39.48079131218732,39.68216323852539,-0.20137347605883593,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,60.0,0.7,0.4284965549458202,0.43173378705978394,-0.0032372321139637616,42.84965549458202,43.173377990722656,-0.32372321139637616,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,60.0,0.8,0.45842517503819835,0.46101483702659607,-0.002589661988397718,45.842517503819835,46.10148239135742,-0.2589661988397718,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,60.0,0.9,0.5154945209587718,0.5162200927734375,-0.0007255718146657042,51.54945209587718,51.62200927734375,-0.07255718146657042,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,90.0,0.1,0.375230694105162,0.3756906986236572,-0.00046000451849520507,37.5230694105162,37.569068908691406,-0.04600045184952051,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,90.0,0.2,0.37419893183073394,0.37507808208465576,-0.0008791502539218232,37.41989318307339,37.507808685302734,-0.08791502539218232,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,90.0,0.3,0.3799570120980523,0.38136258721351624,-0.0014055751154639085,37.99570120980523,38.13625717163086,-0.14055751154639085,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,90.0,0.5,0.40204829993279867,0.403862327337265,-0.0018140274044663451,40.204829993279866,40.386234283447266,-0.18140274044663451,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,90.0,0.7,0.4369919303565662,0.4386363625526428,-0.0016444321960766284,43.69919303565662,43.8636360168457,-0.16444321960766284,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,90.0,0.8,0.46818016549282754,0.4698718190193176,-0.001691653526490089,46.81801654928275,46.9871826171875,-0.1691653526490089,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,90.0,0.9,0.5324710782787376,0.5341434478759766,-0.0016723695972389319,53.24710782787376,53.414344787597656,-0.16723695972389319,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,120.0,0.1,0.3861294667244105,0.3864498436450958,-0.00032037692068531687,38.61294667244105,38.64498519897461,-0.03203769206853169,0.21903783392102139
