currency,scheme,method,mean_rmse,median_rmse,n
BTC,call_wing,convvae,0.15942883361270035,0.15871400602963429,11
BTC,col_random,convvae,0.24376368673199958,0.2445829912576201,11
BTC,long_tenor,convvae,0.23766416240887606,0.269596110709446,11
BTC,put_wing,convvae,0.6692812407057432,0.7278939308731008,11
BTC,row_random,convvae,0.17180850410973358,0.16786978108628428,11
ETH,call_wing,convvae,0.44599487856952624,0.35597179734055373,11
ETH,col_random,convvae,0.23073793416752972,0.19550687715942758,11
ETH,long_tenor,convvae,0.10388866553315088,0.0882261456985575,11
ETH,put_wing,convvae,0.5348379489916546,0.5557897057152469,11
ETH,row_random,convvae,0.3548888421713309,0.3025566900189086,11
