currency,horizon_hours,mean_pnl_vol_points,std_pnl_vol_points,t_stat,hit_rate,n_periods,avg_trades_per_period
BTC,1,0.06495112213776946,0.17685267910250818,2.351618909701406,0.7560975609756098,41,6.0
BTC,3,0.07908336282254655,0.3384264058908103,1.321891700115171,0.75,32,8.0
BTC,6,0.001799729540273258,0.5315963230285767,0.015140501989322892,0.45,20,6.0
BTC,12,0.13206152148234154,0.43521165088992897,1.517210318385315,0.56,25,16.0
BTC,24,0.047909491608120136,0.17585975701528997,1.6571276188797004,0.6486486486486487,37,6.0
ETH,1,0.08333034991034372,0.11714216163066503,4.5549320227415455,0.8780487804878049,41,10.0
ETH,3,0.12932594582238838,0.20759990088899982,3.523980613970339,0.84375,32,10.0
ETH,6,0.16110819142113614,0.28878253420737693,2.4949491404560598,0.75,20,12.0
ETH,12,0.20244156749820252,0.22136635368182433,4.57254601097096,0.88,25,12.0
ETH,24,0.05998999633229823,0.26860182029493584,1.3585347317533092,0.5675675675675675,37,6.0
