currency,horizon_hours,mean_pnl,std_pnl,VaR_95_loss,CVaR_95_loss,Lambda_VaR_loss,worst_loss,n_periods
BTC,1,0.06495112213776946,0.17685267910250815,0.2547108403952786,0.32058731056976336,0.4190147607134165,0.4190147607134165,41
BTC,3,0.07908336282254652,0.3384264058908103,0.2795771964933035,0.614513101287431,0.8611267448884563,0.8611267448884563,32
BTC,6,0.001799729540273258,0.5315963230285767,0.7077761422114526,0.932442378409636,0.932442378409636,0.932442378409636,20
BTC,12,0.13206152148234154,0.43521165088992897,0.35618474589859095,0.5405729776395052,0.7189240642694261,0.7189240642694261,25
BTC,24,0.04790949160812012,0.17585975701528994,0.18201313150150294,0.48323651384818034,0.1247065677316664,0.5552336411155055,37
ETH,1,0.0833303499103437,0.11714216163066503,0.0347763425796422,0.13737894931241493,0.2103844492270553,0.2103844492270553,41
ETH,3,0.12932594582238835,0.2075999008889998,0.12603936611085945,0.13269702427160435,0.1392265389510285,0.1392265389510285,32
ETH,6,0.16110819142113614,0.2887825342073769,0.17618544725046012,0.2756883917935783,0.2756883917935783,0.2756883917935783,20
ETH,12,0.20244156749820252,0.22136635368182433,0.027877265696521155,0.1141582717006226,0.195948097090285,0.195948097090285,25
ETH,24,0.05998999633229821,0.26860182029493584,0.3336235433577235,0.4533888217304357,0.5122255012562972,0.5122255012562972,37
