currency,scheme,method,mean_rmse,median_rmse,n
BTC,call_wing,previous_surface,0.20375489430392663,0.23063984693371167,11
BTC,call_wing,cell_mean,0.35647739302547793,0.28531316830058284,11
BTC,call_wing,quadratic_smile,1.784988995309373,1.7698096142753168,11
BTC,call_wing,row_mean,6.37891529161254,6.473074552841646,11
BTC,col_random,previous_surface,0.31801805760044516,0.4086677240651937,11
BTC,col_random,cell_mean,0.60359481560248,0.5292146442884091,11
BTC,col_random,quadratic_smile,0.7097681486843843,0.6899655274979692,11
BTC,col_random,row_mean,4.853483183732239,4.78093748799332,11
BTC,long_tenor,previous_surface,0.12468527622208453,0.1172407437968682,11
BTC,long_tenor,cell_mean,0.3300762772228149,0.24346533495474162,11
BTC,long_tenor,quadratic_smile,0.3300762772228149,0.24346533495474162,11
BTC,long_tenor,row_mean,0.3300762772228149,0.24346533495474162,11
BTC,put_wing,previous_surface,0.4245249307534932,0.3661130729340661,11
BTC,put_wing,cell_mean,0.8885006821184303,0.9399457312698069,11
BTC,put_wing,quadratic_smile,1.6735339787828742,1.6653750362801243,11
BTC,put_wing,row_mean,10.58397478583128,10.79126453867176,11
BTC,row_random,previous_surface,0.2727658435198777,0.23678697423675682,11
BTC,row_random,cell_mean,0.7073774040136687,0.4749963786217336,11
BTC,row_random,quadratic_smile,0.7073774040136687,0.4749963786217336,11
BTC,row_random,row_mean,0.7073774040136687,0.4749963786217336,11
ETH,call_wing,previous_surface,0.2652285021581852,0.24371804523567794,11
ETH,call_wing,cell_mean,0.5075105967854725,0.5857562098798155,11
ETH,call_wing,quadratic_smile,2.991412347857191,2.9856120653522664,11
ETH,call_wing,row_mean,3.790684922060363,3.7749387101637595,11
ETH,col_random,previous_surface,0.24626707127363312,0.21564562923393588,11
ETH,col_random,cell_mean,0.5955888134067451,0.4812470460732872,11
ETH,col_random,quadratic_smile,0.9439426779137512,0.8571530569344614,11
ETH,col_random,row_mean,3.628467006593185,2.999021984726919,11
ETH,long_tenor,previous_surface,0.1032826071307396,0.09910345520537894,11
ETH,long_tenor,cell_mean,0.237488050663515,0.24707104393264676,11
ETH,long_tenor,quadratic_smile,0.237488050663515,0.24707104393264676,11
ETH,long_tenor,row_mean,0.237488050663515,0.24707104393264676,11
ETH,put_wing,previous_surface,0.3590152840998863,0.22601507327874257,11
ETH,put_wing,cell_mean,0.7107674157672287,0.5347127445879204,11
ETH,put_wing,quadratic_smile,2.725640099161747,2.721014123554688,11
ETH,put_wing,row_mean,8.46120198722488,8.501103683528557,11
ETH,row_random,previous_surface,0.2923451667586662,0.17659758662581526,11
ETH,row_random,cell_mean,0.5696125441604902,0.2785174798373099,11
ETH,row_random,quadratic_smile,0.5696125441604902,0.2785174798373099,11
ETH,row_random,row_mean,0.5696125441604902,0.2785174798373099,11
